Upd 001/20000 | Tot Ep: 001 | Avg Rwd: -112.0 | Avg Pellets:  69.0 (53.5%) | Max Pellets:  69 (53.5%) | Loss (P/V): -0.0000/1.1573 | Time:   3.6s (3.65s/upd) ★ BEST
Upd 005/20000 | Tot Ep: 006 | Avg Rwd:   80.1 | Avg Pellets:  99.7 (53.9%) | Max Pellets: 145 (75.2%) | Loss (P/V): -0.0001/1.2118 | Time:  21.0s (4.42s/upd)
Upd 010/20000 | Tot Ep: 013 | Avg Rwd:   -5.3 | Avg Pellets:  87.8 (40.3%) | Max Pellets: 145 (75.2%) | Loss (P/V): -0.0001/2.4095 | Time:  42.1s (3.73s/upd)
Upd 015/20000 | Tot Ep: 019 | Avg Rwd:   33.8 | Avg Pellets:  93.3 (41.9%) | Max Pellets: 145 (75.2%) | Loss (P/V): -0.0001/1.6824 | Time:  63.0s (3.94s/upd)
Upd 020/20000 | Tot Ep: 026 | Avg Rwd:   62.6 | Avg Pellets:  97.7 (42.3%) | Max Pellets: 163 (77.3%) | Loss (P/V): 0.0001/1.4939 | Time:  82.2s (3.64s/upd)
Upd 025/20000 | Tot Ep: 032 | Avg Rwd:   97.0 | Avg Pellets: 103.0 (43.6%) | Max Pellets: 164 (77.3%) | Loss (P/V): 0.0002/2.8293 | Time: 101.6s (3.79s/upd)
Upd 030/20000 | Tot Ep: 039 | Avg Rwd:  112.0 | Avg Pellets: 105.4 (43.6%) | Max Pellets: 166 (77.3%) | Loss (P/V): 0.0000/2.5849 | Time: 122.0s (4.67s/upd)
Upd 035/20000 | Tot Ep: 045 | Avg Rwd:  111.0 | Avg Pellets: 105.4 (43.0%) | Max Pellets: 166 (77.3%) | Loss (P/V): 0.0001/2.2888 | Time: 146.4s (5.02s/upd)
Upd 040/20000 | Tot Ep: 052 | Avg Rwd:  105.2 | Avg Pellets: 104.4 (41.7%) | Max Pellets: 166 (77.3%) | Loss (P/V): -0.0001/3.3076 | Time: 171.2s (5.36s/upd)
Upd 045/20000 | Tot Ep: 058 | Avg Rwd:  105.3 | Avg Pellets: 104.5 (41.8%) | Max Pellets: 166 (77.3%) | Loss (P/V): 0.0001/1.5318 | Time: 194.4s (4.44s/upd)
Upd 050/20000 | Tot Ep: 065 | Avg Rwd:  104.4 | Avg Pellets: 104.3 (41.5%) | Max Pellets: 166 (77.3%) | Loss (P/V): -0.0000/3.2550 | Time: 214.1s (4.16s/upd)
Upd 055/20000 | Tot Ep: 072 | Avg Rwd:  103.8 | Avg Pellets: 104.2 (41.8%) | Max Pellets: 166 (87.8%) | Loss (P/V): 0.0003/3.0194 | Time: 233.5s (3.81s/upd)
Upd 060/20000 | Tot Ep: 078 | Avg Rwd:  106.1 | Avg Pellets: 104.5 (41.5%) | Max Pellets: 166 (87.8%) | Loss (P/V): -0.0001/1.9092 | Time: 254.9s (4.38s/upd)
Upd 065/20000 | Tot Ep: 085 | Avg Rwd:  107.9 | Avg Pellets: 104.8 (42.3%) | Max Pellets: 166 (87.8%) | Loss (P/V): -0.0002/2.0973 | Time: 273.9s (4.53s/upd)
Upd 070/20000 | Tot Ep: 091 | Avg Rwd:   96.6 | Avg Pellets: 103.4 (41.3%) | Max Pellets: 166 (87.8%) | Loss (P/V): -0.0000/2.7100 | Time: 297.9s (3.84s/upd)
Upd 075/20000 | Tot Ep: 098 | Avg Rwd:   95.3 | Avg Pellets: 103.3 (41.6%) | Max Pellets: 166 (87.8%) | Loss (P/V): 0.0002/3.0299 | Time: 320.6s (5.27s/upd)
Upd 080/20000 | Tot Ep: 104 | Avg Rwd:   86.8 | Avg Pellets: 102.0 (41.8%) | Max Pellets: 166 (87.8%) | Loss (P/V): 0.0000/1.4268 | Time: 341.5s (4.27s/upd)
