======================================================================
Training session started at 2026-09-05T19:15:05.207679
======================================================================
Loaded adversarial player checkpoint.
Loaded adversarial ghost checkpoint.
============================================================
Asymmetric Adv PPO | WU: 0 | Ratio: 5:1
U 0001 [PLAYER TURN] | Ep 0004 | P_Rew:  583.0 | G_Rew: -244.0 | Win%:  55.7% | Die%: 100.0% | Loss(P/V): 0.011/21.180 | Ent: 0.362 | Time: 85.7s
U 0002 [GHOST TURN] | Ep 0007 | P_Rew:  499.6 | G_Rew: -204.1 | Win%:  58.4% | Die%: 100.0% | Loss(P/V): -0.006/14.343 | Ent: 1.372 | Time: 179.3s
U 0003 [GHOST TURN] | Ep 0008 | P_Rew:  385.0 | G_Rew: -146.2 | Win%:  61.4% | Die%: 100.0% | Loss(P/V): -0.004/10.708 | Ent: 1.373 | Time: 271.5s
U 0004 [GHOST TURN] | Ep 0010 | P_Rew:  393.3 | G_Rew: -150.6 | Win%:  64.0% | Die%: 100.0% | Loss(P/V): -0.005/12.077 | Ent: 1.378 | Time: 361.1s
U 0005 [GHOST TURN] | Ep 0010 | P_Rew:  393.3 | G_Rew: -150.6 | Win%:  64.0% | Die%: 100.0% | Loss(P/V): -0.006/15.119 | Ent: 1.377 | Time: 448.3s
U 0006 [GHOST TURN] | Ep 0010 | P_Rew:  393.3 | G_Rew: -150.6 | Win%:  64.0% | Die%: 100.0% | Loss(P/V): -0.003/9.584 | Ent: 1.373 | Time: 543.4s
U 0007 [PLAYER TURN] | Ep 0011 | P_Rew: -928.0 | G_Rew:  504.9 | Win%:  67.1% | Die%:  90.9% | Loss(P/V): 0.012/13.923 | Ent: 0.699 | Time: 629.8s
U 0008 [GHOST TURN] | Ep 0012 | P_Rew: -812.7 | G_Rew:  447.2 | Win%:  66.1% | Die%:  91.7% | Loss(P/V): -0.002/12.530 | Ent: 1.368 | Time: 725.0s
U 0009 [GHOST TURN] | Ep 0015 | P_Rew: -750.9 | G_Rew:  416.1 | Win%:  67.1% | Die%:  93.3% | Loss(P/V): -0.005/16.392 | Ent: 1.375 | Time: 812.4s
U 0010 [GHOST TURN] | Ep 0017 | P_Rew: -770.5 | G_Rew:  427.0 | Win%:  64.2% | Die%:  94.1% | Loss(P/V): -0.002/15.602 | Ent: 1.370 | Time: 898.5s
U 0011 [GHOST TURN] | Ep 0019 | P_Rew: -703.5 | G_Rew:  394.4 | Win%:  64.7% | Die%:  94.7% | Loss(P/V): -0.003/12.497 | Ent: 1.369 | Time: 992.1s
U 0012 [GHOST TURN] | Ep 0019 | P_Rew: -703.5 | G_Rew:  394.4 | Win%:  64.7% | Die%:  94.7% | Loss(P/V): -0.003/11.741 | Ent: 1.373 | Time: 1082.0s
U 0013 [PLAYER TURN] | Ep 0019 | P_Rew: -703.5 | G_Rew:  394.4 | Win%:  64.7% | Die%:  94.7% | Loss(P/V): 0.001/25.702 | Ent: 0.580 | Time: 1178.7s
U 0014 [GHOST TURN] | Ep 0023 | P_Rew: -768.1 | G_Rew:  426.7 | Win%:  63.9% | Die%:  95.7% | Loss(P/V): -0.005/13.138 | Ent: 1.373 | Time: 1269.1s
U 0015 [GHOST TURN] | Ep 0026 | P_Rew: -584.9 | G_Rew:  335.5 | Win%:  63.9% | Die%:  96.2% | Loss(P/V): -0.009/12.699 | Ent: 1.372 | Time: 1357.0s
U 0016 [GHOST TURN] | Ep 0034 | P_Rew: -359.8 | G_Rew:  222.5 | Win%:  57.8% | Die%:  97.1% | Loss(P/V): -0.001/14.132 | Ent: 1.369 | Time: 1445.5s
U 0017 [GHOST TURN] | Ep 0035 | P_Rew: -343.3 | G_Rew:  214.2 | Win%:  58.4% | Die%:  97.1% | Loss(P/V): 0.000/12.159 | Ent: 1.374 | Time: 1534.1s
U 0018 [GHOST TURN] | Ep 0039 | P_Rew: -283.6 | G_Rew:  184.6 | Win%:  56.3% | Die%:  97.4% | Loss(P/V): -0.000/13.236 | Ent: 1.371 | Time: 1625.5s
U 0019 [PLAYER TURN] | Ep 0041 | P_Rew: -227.0 | G_Rew:  156.5 | Win%:  57.0% | Die%:  97.6% | Loss(P/V): 0.003/24.509 | Ent: 0.321 | Time: 1714.1s
U 0020 [GHOST TURN] | Ep 0043 | P_Rew: -198.6 | G_Rew:  142.1 | Win%:  56.7% | Die%:  97.7% | Loss(P/V): -0.002/11.894 | Ent: 1.373 | Time: 1806.5s
U 0021 [GHOST TURN] | Ep 0043 | P_Rew: -198.6 | G_Rew:  142.1 | Win%:  56.7% | Die%:  97.7% | Loss(P/V): 0.002/10.327 | Ent: 1.379 | Time: 1899.7s
U 0022 [GHOST TURN] | Ep 0044 | P_Rew: -303.0 | G_Rew:  194.2 | Win%:  57.3% | Die%:  97.7% | Loss(P/V): -0.002/12.026 | Ent: 1.377 | Time: 1996.0s
U 0023 [GHOST TURN] | Ep 0047 | P_Rew: -224.9 | G_Rew:  155.4 | Win%:  58.0% | Die%:  97.9% | Loss(P/V): -0.009/14.230 | Ent: 1.378 | Time: 2085.0s
U 0024 [GHOST TURN] | Ep 0049 | P_Rew: -190.7 | G_Rew:  138.6 | Win%:  57.2% | Die%:  98.0% | Loss(P/V): -0.005/10.748 | Ent: 1.376 | Time: 2177.5s
U 0025 [PLAYER TURN] | Ep 0052 | P_Rew: -171.3 | G_Rew:  129.0 | Win%:  57.9% | Die%:  98.0% | Loss(P/V): 0.003/22.041 | Ent: 0.321 | Time: 2267.0s
