pygame 2.6.1 (SDL 2.28.4, Python 3.10.12)
Hello from the pygame community. https://www.pygame.org/contribute.html
Loading and validating dataset: AI_arena/data/PACMAN_IMITATION_DATA.jsonl
Loaded 150000 samples from 3636 episodes
Resumed supervised training from epoch 55 (reset early-stopping counter from 3)
Supervised Pac-Man training on cpu: 128722 train / 21278 validation
Press Ctrl+C to stop safely and save the current training state.
Epoch 056 | batch 0010/2012 | loss=0.17261 | acc=93.28%
Epoch 056 | batch 0020/2012 | loss=0.15559 | acc=94.06%
Epoch 056 | batch 0030/2012 | loss=0.15272 | acc=94.01%
Epoch 056 | batch 0040/2012 | loss=0.15483 | acc=94.06%
Epoch 056 | batch 0050/2012 | loss=0.16408 | acc=93.84%
Epoch 056 | batch 0060/2012 | loss=0.16562 | acc=93.80%
Epoch 056 | batch 0070/2012 | loss=0.16131 | acc=93.88%
Epoch 056 | batch 0080/2012 | loss=0.16223 | acc=93.85%
Epoch 056 | batch 0090/2012 | loss=0.16215 | acc=93.84%
Epoch 056 | batch 0100/2012 | loss=0.16441 | acc=93.80%
Epoch 056 | batch 0110/2012 | loss=0.16748 | acc=93.75%
Epoch 056 | batch 0120/2012 | loss=0.16699 | acc=93.68%
Epoch 056 | batch 0130/2012 | loss=0.16409 | acc=93.75%
Epoch 056 | batch 0140/2012 | loss=0.16558 | acc=93.74%
Epoch 056 | batch 0150/2012 | loss=0.16615 | acc=93.75%
Epoch 056 | batch 0160/2012 | loss=0.16696 | acc=93.70%
Epoch 056 | batch 0170/2012 | loss=0.16709 | acc=93.68%
Epoch 056 | batch 0180/2012 | loss=0.16770 | acc=93.65%
Epoch 056 | batch 0190/2012 | loss=0.16842 | acc=93.62%
Epoch 056 | batch 0200/2012 | loss=0.16659 | acc=93.72%
Epoch 056 | batch 0210/2012 | loss=0.16536 | acc=93.68%
Epoch 056 | batch 0220/2012 | loss=0.16591 | acc=93.66%
Epoch 056 | batch 0230/2012 | loss=0.16636 | acc=93.63%
Epoch 056 | batch 0240/2012 | loss=0.16614 | acc=93.62%
Epoch 056 | batch 0250/2012 | loss=0.16579 | acc=93.62%
Epoch 056 | batch 0260/2012 | loss=0.16503 | acc=93.62%
Epoch 056 | batch 0270/2012 | loss=0.16463 | acc=93.63%
Epoch 056 | batch 0280/2012 | loss=0.16615 | acc=93.57%
Epoch 056 | batch 0290/2012 | loss=0.16679 | acc=93.55%
Epoch 056 | batch 0300/2012 | loss=0.16671 | acc=93.54%
Epoch 056 | batch 0310/2012 | loss=0.16796 | acc=93.51%
Epoch 056 | batch 0320/2012 | loss=0.16743 | acc=93.52%
Epoch 056 | batch 0330/2012 | loss=0.16808 | acc=93.48%
Epoch 056 | batch 0340/2012 | loss=0.16859 | acc=93.45%
Epoch 056 | batch 0350/2012 | loss=0.16833 | acc=93.45%
Epoch 056 | batch 0360/2012 | loss=0.16790 | acc=93.45%
Epoch 056 | batch 0370/2012 | loss=0.16775 | acc=93.47%
Epoch 056 | batch 0380/2012 | loss=0.16782 | acc=93.45%
Epoch 056 | batch 0390/2012 | loss=0.16847 | acc=93.41%
Epoch 056 | batch 0400/2012 | loss=0.16916 | acc=93.42%
Epoch 056 | batch 0410/2012 | loss=0.16923 | acc=93.40%
Epoch 056 | batch 0420/2012 | loss=0.16971 | acc=93.39%
Epoch 056 | batch 0430/2012 | loss=0.16976 | acc=93.38%
Epoch 056 | batch 0440/2012 | loss=0.17070 | acc=93.34%
Epoch 056 | batch 0450/2012 | loss=0.17095 | acc=93.32%
Epoch 056 | batch 0460/2012 | loss=0.17102 | acc=93.32%
Epoch 056 | batch 0470/2012 | loss=0.17138 | acc=93.30%
Epoch 056 | batch 0480/2012 | loss=0.17169 | acc=93.30%
Epoch 056 | batch 0490/2012 | loss=0.17200 | acc=93.28%
Epoch 056 | batch 0500/2012 | loss=0.17267 | acc=93.26%
Epoch 056 | batch 0510/2012 | loss=0.17236 | acc=93.28%
Epoch 056 | batch 0520/2012 | loss=0.17279 | acc=93.26%
Epoch 056 | batch 0530/2012 | loss=0.17364 | acc=93.21%
Epoch 056 | batch 0540/2012 | loss=0.17389 | acc=93.19%
Epoch 056 | batch 0550/2012 | loss=0.17394 | acc=93.19%
Epoch 056 | batch 0560/2012 | loss=0.17461 | acc=93.18%
Epoch 056 | batch 0570/2012 | loss=0.17453 | acc=93.17%
Epoch 056 | batch 0580/2012 | loss=0.17440 | acc=93.15%
