me: 1153.2s (0.65s/upd)
Upd 1815/5000 | Tot Ep: 290 | Avg Rwd:  242.4 | Avg Pellets:  80.0 (27.5%) | Max Pellets: 174 (72.2%) | Loss (P/V): -0.0004/1.1323 | Time: 1156.8s (0.61s/upd)
Upd 1820/5000 | Tot Ep: 291 | Avg Rwd:  238.0 | Avg Pellets:  79.7 (26.6%) | Max Pellets: 174 (72.2%) | Loss (P/V): 0.0004/3.0383 | Time: 1160.5s (0.71s/upd)
Upd 1825/5000 | Tot Ep: 292 | Avg Rwd:  236.3 | Avg Pellets:  79.7 (25.6%) | Max Pellets: 174 (72.2%) | Loss (P/V): 0.0002/2.3944 | Time: 1164.0s (0.71s/upd)
Upd 1830/5000 | Tot Ep: 292 | Avg Rwd:  236.3 | Avg Pellets:  79.7 (25.6%) | Max Pellets: 174 (72.2%) | Loss (P/V): 0.0005/1.6547 | Time: 1167.7s (0.71s/upd)
Upd 1835/5000 | Tot Ep: 293 | Avg Rwd:  248.1 | Avg Pellets:  81.2 (26.2%) | Max Pellets: 174 (72.2%) | Loss (P/V): -0.0000/0.3799 | Time: 1171.1s (0.63s/upd)
Upd 1840/5000 | Tot Ep: 294 | Avg Rwd:  250.6 | Avg Pellets:  81.7 (28.2%) | Max Pellets: 174 (76.1%) | Loss (P/V): 0.0005/5.4745 | Time: 1174.5s (0.66s/upd)
Upd 1845/5000 | Tot Ep: 295 | Avg Rwd:  240.4 | Avg Pellets:  80.0 (28.8%) | Max Pellets: 174 (76.1%) | Loss (P/V): -0.0002/3.1693 | Time: 1177.9s (0.66s/upd)
Upd 1850/5000 | Tot Ep: 296 | Avg Rwd:  243.7 | Avg Pellets:  80.3 (29.2%) | Max Pellets: 174 (76.1%) | Loss (P/V): 0.0001/0.4997 | Time: 1181.3s (0.71s/upd)
Upd 1855/5000 | Tot Ep: 296 | Avg Rwd:  243.7 | Avg Pellets:  80.3 (29.2%) | Max Pellets: 174 (76.1%) | Loss (P/V): 0.0002/2.0847 | Time: 1184.2s (0.53s/upd)
Upd 1860/5000 | Tot Ep: 297 | Avg Rwd:  265.4 | Avg Pellets:  83.1 (29.9%) | Max Pellets: 174 (76.1%) | Loss (P/V): 0.0002/1.0640 | Time: 1187.6s (0.67s/upd)
Upd 1865/5000 | Tot Ep: 298 | Avg Rwd:  235.0 | Avg Pellets:  78.5 (28.9%) | Max Pellets: 174 (76.1%) | Loss (P/V): -0.0001/0.4352 | Time: 1190.6s (0.60s/upd)
Upd 1870/5000 | Tot Ep: 299 | Avg Rwd:  250.5 | Avg Pellets:  80.7 (29.7%) | Max Pellets: 174 (76.1%) | Loss (P/V): 0.0002/1.1508 | Time: 1193.7s (0.58s/upd)
