
======================================================================
Training session started at 2026-08-22T10:51:56.479175
======================================================================
============================================================
Stage 2 PPO Training | Device: cpu
Updates: 1000 | Rollout: 3000
============================================================
Resumed from player_rl_stage2.pt (/home/mmenniou/Documents/pac-man/AI_arena/models/player_rl_stage2.pt)
Upd 001/1000 | Tot Ep: 013 | Avg Epoch Rwd:  119.1 | Max Pellets: 195 (69.4%) | Avg Pellets: 117.3 (38.9%) | Osc%: 10.9% | Avg Rwd: 119.1 | Step: -29.4 | Osc: -1920.0 | Pellet: +5160.1 | Super: +55.0 | Ghost: +1350.0 | Complete: +0.0 | Death: -1950.0 | Milestone: +350.0 | BFS: +3.0 | GhostProx: -939.8 | CleanReg: +0.0 | DirtyReg: +0.0 | Backtrack: +0.0 | Incomplete: +0.0 | PredThreat: -427.0 | Evasion: +0.0 | SuperBait: +0.0 | ZoneCtrl: -10.0 | ThreatMaster: +0.0 | GhostLure: +0.0 | Survival: +0.0 | Loss (P/V): 0.0021/41.6576 | Time:  40.4s (40.42s/upd) | Complete:  0.0% | Truncated:  0.0% | Avg Maze: 372.3 (23.3x15.5)
Upd 002/1000 | Tot Ep: 018 | Avg Epoch Rwd:  383.3 | Max Pellets: 547 (84.5%) | Avg Pellets: 157.9 (43.0%) | Osc%:  9.4% | Avg Rwd: 192.5 | Step: -30.2 | Osc: -1900.0 | Pellet: +5040.5 | Super: +35.0 | Ghost: +150.0 | Complete: +0.0 | Death: -750.0 | Milestone: +300.0 | BFS: +7.4 | GhostProx: -659.8 | CleanReg: +0.0 | DirtyReg: +0.0 | Backtrack: +0.0 | Incomplete: +0.0 | PredThreat: -243.1 | Evasion: +0.0 | SuperBait: +0.0 | ZoneCtrl: -0.2 | ThreatMaster: +0.0 | GhostLure: +0.0 | Survival: +0.0 | Loss (P/V): 0.0075/31.9772 | Time:  82.5s (42.01s/upd) | Complete:  0.0% | Truncated:  0.0% | Avg Maze: 488.6 (33.4x14.6)
Upd 003/1000 | Tot Ep: 027 | Avg Epoch Rwd:  245.4 | Max Pellets: 592 (74.9%) | Avg Pellets: 160.1 (42.0%) | Osc%: 13.6% | Avg Rwd: 210.1 | Step: -28.8 | Osc: -1640.0 | Pellet: +5322.0 | Super: +40.0 | Ghost: +450.0 | Complete: +0.0 | Death: -1350.0 | Milestone: +300.0 | BFS: +3.5 | GhostProx: -605.2 | CleanReg: +0.0 | DirtyReg: +0.0 | Backtrack: +0.0 | Incomplete: +0.0 | PredThreat: -222.2 | Evasion: +0.0 | SuperBait: +0.0 | ZoneCtrl: +0.0 | ThreatMaster: +0.0 | GhostLure: +0.0 | Survival: +0.0 | Loss (P/V): -0.0007/28.4293 | Time: 127.6s (45.04s/upd) | Complete:  0.0% | Truncated:  0.0% | Avg Maze: 371.4 (21.9x16.4)
Upd 004/1000 | Tot Ep: 039 | Avg Epoch Rwd:  141.9 | Max Pellets: 335 (75.5%) | Avg Pellets: 151.1 (39.5%) | Osc%: 11.7% | Avg Rwd: 189.1 | Step: -28.7 | Osc: -2030.0 | Pellet: +5466.7 | Super: +45.0 | Ghost: +750.0 | Complete: +0.0 | Death: -1800.0 | Milestone: +370.0 | BFS: +6.9 | GhostProx: -755.4 | CleanReg: +0.0 | DirtyReg: +0.0 | Backtrack: +0.0 | Incomplete: +0.0 | PredThreat: -249.4 | Evasion: +0.0 | SuperBait: +0.0 | ZoneCtrl: -10.1 | ThreatMaster: +0.0 | GhostLure: +0.0 | Survival: +0.0 | Loss (P/V): -0.0034/40.3848 | Time: 167.6s (39.95s/upd) | Complete:  0.0% | Truncated:  0.0% | Avg Maze: 371.9 (22.7x16.8)
Upd 005/1000 | Tot Ep: 044 | Avg Epoch Rwd:  215.1 | Max Pellets: 273 (93.5%) | Avg Pellets: 150.8 (40.6%) | Osc%:  9.6% | Avg Rwd: 192.1 | Step: -17.6 | Osc: -990.0 | Pellet: +3014.8 | Super: +20.0 | Ghost: +0.0 | Complete: +0.0 | Death: -750.0 | Milestone: +560.0 | BFS: +7.5 | GhostProx: -535.1 | CleanReg: +0.0 | DirtyReg: +0.0 | Backtrack: +0.0 | Incomplete: +0.0 | PredThreat: -218.2 | Evasion: +0.0 | SuperBait: +0.0 | ZoneCtrl: -0.1 | ThreatMaster: +0.0 | GhostLure: +0.0 | Survival: +0.0 | Loss (P/V): 0.0013/29.8650 | Time: 207.4s (39.75s/upd) | Complete:  0.0% | Truncated:  0.0% | Avg Maze: 326.4 (18.8x17.2)
Upd 006/1000 | Tot Ep: 046 | Avg Epoch Rwd:  247.6 | Max Pellets: 622 (96.1%) | Avg Pellets: 161.6 (41.5%) | Osc%:  8.1% | Avg Rwd: 194.5 | Step: -45.0 | Osc: -2720.0 | Pellet: +3582.8 | Super: +15.0 | Ghost: +150.0 | Complete: +0.0 | Death: -300.0 | Milestone: +390.0 | BFS: +42.6 | GhostProx: -458.9 | CleanReg: +0.0 | DirtyReg: +0.0 | Backtrack: +0.0 | Incomplete: +0.0 | PredThreat: -71.7 | Evasion: +0.0 | SuperBait: +0.0 | ZoneCtrl: -0.1 | ThreatMaster: +0.0 | GhostLure: +0.0 | Survival: +0.0 | Loss (P/V): -0.0013/18.9876 | Time: 249.3s (41.88s/upd) | Complete:  0.0% | Truncated:  0.0% | Avg Maze: 689.5 (34.0x20.5)
Upd 007/1000 | Tot Ep: 052 | Avg Epoch Rwd:  260.9 | Max Pellets: 393 (92.9%) | Avg Pellets: 165.6 (43.6%) | Osc%:  8.9% | Avg Rwd: 202.2 | Step: -29.2 | Osc: -1950.0 | Pellet: +4491.2 | Super: +35.0 | Ghost: +300.0 | Complete: +0.0 | Death: -900.0 | Milestone: +720.0 | BFS: +10.1 | GhostProx: -718.4 | CleanReg: +0.0 | DirtyReg: +0.0 | Backtrack: +0.0 | Incomplete: +0.0 | PredThreat: -354.8 | Evasion: +0.0 | SuperBait: +0.0 | ZoneCtrl: +0.0 | ThreatMaster: +0.0 | GhostLure: +0.0 | Survival: +0.0 | Loss (P/V): 0.0002/30.9791 | Time: 290.0s (40.64s/upd) | Complete:  0.0% | Truncated:  0.0% | Avg Maze: 378.7 (22.5x17.2)
Upd 008/1000 | Tot Ep: 061 | Avg Epoch Rwd:  390.2 | Max Pellets: 597 (74.6%) | Avg Pellets: 165.4 (42.8%) | Osc%:  6.1% | Avg Rwd: 229.9 | Step: -27.8 | Osc: -890.0 | Pellet: +5183.0 | Super: +40.0 | Ghost: +750.0 | Complete: +0.0 | Death: -1350.0 | Milestone: +270.0 | BFS: +6.8 | GhostProx: -440.8 | CleanReg: +0.0 | DirtyReg: +0.0 | Backtrack: +0.0 | Incomplete: +0.0 | PredThreat: -21.2 | Evasion: +0.0 | SuperBait: +0.0 | ZoneCtrl: +0.0 | ThreatMaster: +0.0 | GhostLure: +0.0 | Survival: +0.0 | Loss (P/V): 0.0002/29.2089 | Time: 329.8s (39.80s/upd) | Complete:  0.0% | Truncated:  0.0% | Avg Maze: 418.9 (23.3x17.2)
Upd 009/1000 | Tot Ep: 069 | Avg Epoch Rwd:  132.4 | Max Pellets: 396 (87.2%) | Avg Pellets: 163.0 (42.6%) | Osc%: 14.9% | Avg Rwd: 218.6 | Step: -23.5 | Osc: -1810.0 | Pellet: +4333.7 | Super: +25.0 | Ghost: +300.0 | Complete: +0.0 | Death: -1200.0 | Milestone: +300.0 | BFS: +4.2 | GhostProx: -628.7 | CleanReg: +0.0 | DirtyReg: +0.0 | Backtrack: +0.0 | Incomplete: +0.0 | PredThreat: -181.4 | Evasion: +0.0 | SuperBait: +0.0 | ZoneCtrl: -10.2 | ThreatMaster: +0.0 | GhostLure: +0.0 | Survival: +0.0 | Loss (P/V): 0.0025/35.8462 | Time: 367.5s (37.61s/upd) | Complete:  0.0% | Truncated:  0.0% | Avg Maze: 335.0 (22.6x14.8)
Upd 010/1000 | Tot Ep: 078 | Avg Epoch Rwd:  -18.1 | Max Pellets: 384 (92.0%) | Avg Pellets: 163.4 (42.5%) | Osc%:  9.2% | Avg Rwd: 191.3 | Step: -39.5 | Osc: -4650.0 | Pellet: +5558.2 | Super: +40.0 | Ghost: +450.0 | Complete: +0.0 | Death: -1350.0 | Milestone: +550.0 | BFS: +23.2 | GhostProx: -579.6 | CleanReg: +0.0 | DirtyReg: +0.0 | Backtrack: +0.0 | Incomplete: +0.0 | PredThreat: -22.7 | Evasion: +0.0 | SuperBait: +0.0 | ZoneCtrl: +0.0 | ThreatMaster: +0.0 | GhostLure: +0.0 | Survival: +0.0 | Loss (P/V): -0.0015/35.6344 | Time: 408.5s (41.01s/upd) | Complete:  0.0% | Truncated:  0.0% | Avg Maze: 401.9 (26.8x14.7)
Upd 011/1000 | Tot Ep: 085 | Avg Epoch Rwd:  380.0 | Max Pellets: 385 (71.2%) | Avg Pellets: 167.9 (43.0%) | Osc%:  8.3% | Avg Rwd: 206.8 | Step: -29.0 | Osc: -1510.0 | Pellet: +5405.5 | Super: +45.0 | Ghost: +300.0 | Complete: +0.0 | Death: -1050.0 | Milestone: +370.0 | BFS: +4.0 | GhostProx: -602.0 | CleanReg: +0.0 | DirtyReg: +0.0 | Backtrack: +0.0 | Incomplete: +0.0 | PredThreat: -198.0 | Evasion: +0.0 | SuperBait: +0.0 | ZoneCtrl: -10.3 | ThreatMaster: +0.0 | GhostLure: +0.0 | Survival: +0.0 | Loss (P/V): 0.0024/27.5686 | Time: 447.9s (39.40s/upd) | Complete:  0.0% | Truncated:  0.0% | Avg Maze: 447.9 (29.3x15.6)
